Conference's Acronym with year	Conference's Acronym	Year	Conference's Name	Location
IJCAI 2017	IJCAI	2017	International Joint Conference on Artificial Intelligence	Melbourne, Australia
ICMMR-Ei 2017	ICMMR-Ei	2017	2017 4th International Conference on Mechanics and Mechatronics Research (ICMMR 2017) - Ei Compendex, Scopus and CPCI	Xi'an, China
WCSE 2017	WCSE	2017	7th International Workshop on Computer Science and Engineering --Scopus & Ei compendex	Wuhan, China
ICOSE 2017	ICOSE	2017	2017 International Conference on Software Engineering (ICOSE 2017) -- EI &Scopus	Beijing,China
HSI 2017	HSI	2017	The 10th International Conference on Human System Interaction	Ulsan, Korea
ICINCO 2017	ICINCO	2017	International Conference on Informatics in Control, Automation and Robotics	Madrin, Spain
ICMAE 2017	ICMAE	2017	2017 The 8th International Conference on Mechanical and Aerospace Engineering (ICMAE 2017)—IEEE and Ei Compendex	Prague, Czech Republic
IDAP 2017	IDAP	2017	International Artificial Intelligence and Data Processing Symposium	Malatya, Turkey
BCI for Neurorobotics 2017	BCI for Neurorobotics	2017	Brain Computer Interface Systems for Neurorobotics: Methods and Applications	N/A
EPIA 2017	EPIA	2017	EPIA Conference on Artificial Intelligence -- Journal Track	Porto
ICCSSE 2017	ICCSSE	2017	2017 3rd International Conference on Control Science and Systems Engineering (ICCSSE 2017)--IEEE, Ei Compendex	Beijing,China
ICRAS 2017	ICRAS	2017	2017 International Conference on Robotics and Automation Sciences (ICRAS 2017)--IEEE, Ei Compendex and Scopus	Hong Kong
IROS 2017	IROS	2017	IEEE/RSJ International Conference on Intelligent Robots and Systems	Vancouver, Canada
IEEE ITOEC 2017	IEEE ITOEC	2017	2017 IEEE 3rd Information Technology and Mechatronics Engineering Conference	Chongqing
ISAIR 2017	ISAIR	2017	The 2nd International Symposium on Artificial Intelligence and Robotics 2017	Kitakyushu, Japan
IUI 2017	IUI	2017	Intelligent User Interfaces	Limassol, Cyprus
IPMU 2018	IPMU	2018	17th Information Processing and Management of Uncertainty in Knowledge-Based Systems Conference	Cádiz- Spain
StoryCase 2012	StoryCase	2012	ICCBR-12 Workshop on Stories, Episodes, and Cases (StoryCase)	Lyon, France
PlanSIG 2016	PlanSIG	2016	The 34th Workshop of the UK PLANNING AND SCHEDULING Special Interest Group	Huddersfield, UK
IUI 2017	IUI	2017	22nd ACM International Conference on Intelligent User Interfaces - Tutorials	Limassol, Cyprus
IRRATIONAL 2016	IRRATIONAL	2016	IMPERFECT DECISION MAKERS: ADMITTING REAL-WORLD RATIONALITY	Barcelona
ICMRE 2017	ICMRE	2017	2017 3rd International Conference on Mechatronics and Robotics Engineering (ICMRE 2017)- Springer, Scopus	Paris, France
[ ICMDM ] 2016	[ ICMDM ]	2016	3rd International Conference on Mechanical Design and Manufacturing - SCOPUS, Ei	Jeju Island, Republic of Korea
ICPRAM 2017	ICPRAM	2017	6th International Conference on Pattern Recognition Applications and Methods	Porto, Portugal
ICMSCE 2017	ICMSCE	2017	2017 International Conference on Mechanical Systems and Control Engineering (ICMSCE 2017)--Ei Compendex, Scopus	Abdullah Gül University, Kayseri, Turkey
[ ICCIS ] 2016	[ ICCIS ]	2016	International Conference on Communication and Information Systems	Bangkok, Thailand
ICOAI 2016	ICOAI	2016	2016 3th International Conference on Artificial Intelligence (ICOAI 2016)	Limerick City, Ireland
FILM 2016	FILM	2016	Future of Interactive Learning Machines Workshop @ NIPS 2016	Barcelona, Spain
IUI 2017	IUI	2017	22nd ACM International Conference on Intelligent User Interfaces	Limassol, Cyprus
AISTATS 2017	AISTATS	2017	The 20th International Conference on Artificial Intelligence and Statistics	Fort Lauderdale, Florida, USA
ICIMT 2016	ICIMT	2016	2016 8th International Conference on Information and Multimedia Technology (ICIMT 2016)	Kuala Lumpur, Malaysia
KRR@SAC 2017	KRR@SAC	2017	Knowledge Representation and Reasoning (track of the 32st ACM/SIGAPP Symposium On Applied Computing)	Marrakech, Morocco
ICORES 2017	ICORES	2017	International Conference on Operations Research and Enterprise Systems	Porto, Portugal
ICAART 2017	ICAART	2017	International Conference on Agents and Artificial Intelligence	Porto, Portugal
MAMLAKE 2017	MAMLAKE	2017	Special Session on Modern Applications of Machine Learning for Actionable Knowledge Extraction	Kanazawa, Japan
CPSCom 2016	CPSCom	2016	The 9th IEEE International Conference on Cyber, Physical and Social Computing	Chengdu, Sichuan, China
GreenCom 2016	GreenCom	2016	The 12th IEEE International Conference on Green Computing and Communications	Chengdu, Sichuan, China
iThings 2016	iThings	2016	The 9th IEEE International Conference on Internet of Things	Chengdu, Sichuan, China
ISW-LOD 2016	ISW-LOD	2016	4th International Workshop on Semantic Web and Linked Open Data	San Jose, Costa Rica
ICCIP - EI, ACM 2016	ICCIP - EI, ACM	2016	2016 the 2nd International Conference on Communication and Information Processing(ICCIP 2016)--EI, SCOPUS	Singapore
IEEE-ICICM 2016	IEEE-ICICM	2016	2016 IEEE International Conference on Integrated Circuits and Microsystems (ICICM 2016)--EI & SCOPUS	Chengdu, China
KARE 2016	KARE	2016	9th International Workshop on Knowledge Acquisition Reuse & Evaluation	Naples, Italy
ICITDA 2016	ICITDA	2016	The International Conference on Information Technology and Digital Applications (Indexing: Scopus, Inspec, EI Compendex)	Yogyakarta, Indonesia
PIC 2016	PIC	2016	The 2016 International Conference on Progress in Informatics and Computing	shanghai
AT 2016	AT	2016	INTERNATIONAL CONFERENCE ON AGREEMENT TECHNOLOGIES	Valencia
IUI 2017	IUI	2017	22nd ACM International Conference on Intelligent User Interfaces - Workshops	Limassol, Cyprus
EWRL 2016	EWRL	2016	The 13th European Workshop on Reinforcement Learning	Barcelona, Spain
FCST 2016	FCST	2016	International Conference on Frontier of Computer Science and Technology	Nagasaki, Japan
SACCOCO 2017	SACCOCO	2017	Cognitive Computing Track @ ACM SAC 2017	Marrakech, Morocco
ICSRS 2016	ICSRS	2016	IEEE-2016 International Conference on System Reliability and Science (ICSRS 2016)-EI Compendex	Paris, France
AWRL 2016	AWRL	2016	First Asian Workshop on Reinforcement Learning	Hamilton, New Zealand
HTC 2016	HTC	2016	Humanitarian Technology Conference 2016	Agra, India
LaSh 2016	LaSh	2016	Fifth Workshop on Logic and Search	New York City
CRoNe 2016	CRoNe	2016	2nd Congress on Robotics and Neuroscience - Call for posters (extended)	Valparaiso, Chile
AI*AAL.it 2016	AI*AAL.it	2016	Second Italian Workshop on Artificial Intelligence for Ambient Assisted Living	Genova, Italy
ICMV 2016	ICMV	2016	EI Compendex & SCOPUS - 2016 The 9th International Conference on Machine Vision (SPIE-ICMV 2016)	Nice, France
EUMAS 2016	EUMAS	2016	14th EUROPEAN CONFERENCE ON MULTI-AGENT SYSTEMS	Valencia, Spain
MECN 2016	MECN	2016	Second International Conference on Mechanical Engineering	Dubai,UAE
ICTCC 2017	ICTCC	2017	3rd International Conference on NaTure of Computation and Communication	Hue City, Vietnam
RATIC 2016	RATIC	2016	Workshop on Reasoning about Time in CBR	Atlanta, Georgia
BRAIN 2016	BRAIN	2016	BRAIN. BROAD RESEARCH IN ARTIFICIAL INTELLIGENCE AND NEUROSCIENCE	N/A
Artificial Intelligence Workshop - ENC 2016	Artificial Intelligence Workshop - ENC	2016	Artificial Intelligence Workshop: Methods and applications - At Mexican International Conference on Computer Science 2016 (ENC 2016)	Chihuahua, México
PRASA-RobMech 2016	PRASA-RobMech	2016	Symposium of the Pattern Recognition Association of South Africa (PRASA) and Conference of Robotics and Mechatronics (RobMech)	Stellenbosch, South Africa
JSAI-isAI 2016	JSAI-isAI	2016	JSAI International Symposia on AI 2016	Yokohama, Japan
BiSIP 2016	BiSIP	2016	Call for Book Chapters: Biomedical Signal and Image Processing in Patient Care	India
ISAIR 2016	ISAIR	2016	The 1st International Symposium on Artificial Intelligence and Robotics 2016	Wuhan, China
CCC@ICCBR 2016	CCC@ICCBR	2016	Computer Cooking Contest at the 24th International Conference on Case-based Reasoning	Atlanta, Georgia USA
WiML 2016	WiML	2016	11th Workshop for Women in Machine Learning, Co-located with NIPS	Barcelona, Spain
ICDLE 2016	ICDLE	2016	2016 7th International Conference on Distance Learning and Education (ICDLE 2016)	Hertfordshire, UK
MIWAI 2016	MIWAI	2016	The 10th Multi-disciplinary International Workshop on Artificial Intelligence	Chiang Mai, Thailand
FETLT 2016	FETLT	2016	Second Workshop on Future and Emerging Trends in Language Technologies, Machine Learning and Big Data	Seville
ACML 2016	ACML	2016	8th Asian Conference on Machine Learning	Hamilton, New Zealand
IEEE CISDA 2016	IEEE CISDA	2016	2016 IEEE Symposium on Computational Intelligence for Security and Defense Applications	Athens, Greece
MIKE 2016	MIKE	2016	The Fourth International Conference on MINING INTELLIGENCE AND KNOWLEDGE EXPLORATION	Mexico City, Mexico
SiPML 2016	SiPML	2016	2016 Workshop on Signal Processing and Machine Learning (SiPML)	Soonchunhyang (SCH) University, Asan, K
IEEE HPSC 2016	IEEE HPSC	2016	The 3rd IEEE International Conference on High Performance and Smart Computing	Shenzhen, China
IEEE ICRAI 2016	IEEE ICRAI	2016	2nd International Conference on Robotics and Artificial Intelligence	Islamabad
CIIISI 2016	CIIISI	2016	III Congreso Internacional de Ingeniería Informática y Sistemas de Información	La Habana, Cuba
BigComp Workshop 2017	BigComp Workshop	2017	BigComp 2017 Call for Workshop Proposals	Jeju, South Korea
Creative Computing 2016	Creative Computing	2016	Special Issue on Evolutionary Computing for the Creative Industries	N/A
AI 2016	AI	2016	The 29th Australasian Joint Conference on Artificial Intelligence	Hobart, Australia
ICRMV 2016	ICRMV	2016	2016 International Conference on Robotics and Machine Vision (ICRMV 2016)-Scopus, Ei & Web of Science (CPCI)	Moscow, Russia
MECHA 2016	MECHA	2016	Third International Conference on Mechanical Engineering	Dubai,UAE
AISO 2016	AISO	2016	Second International Conference on Artificial Intelligence and Soft Computing	Dubai, UAE
AI-HRI 2016	AI-HRI	2016	AAAI Fall Symposium on Artificial Intelligence for Human-Robot Interaction	Arlington, VA
CIIS 2016	CIIS	2016	Computational Intelligence in Information Systems	Brunei
SoDM 2016	SoDM	2016	Special Session on Data Mining (in conjunction with CIIS 2016)	Institut Teknologi Brunei, Brunei
PAIS'2016	PAIS	2016	The 2nd International Conference on Pattern Analysis and Intelligent Systems	Khenchela, Algeria
ICMDA 2016	ICMDA	2016	2016 International Conference on Mechatronics, Design and Auotmation Engineering (ICMDA 2016)	Moscow, Russia
AICS 2016	AICS	2016	24th Irish Conference on Artificial Intelligence and Cognitive Science	Dublin, Ireland
ICCASA 2016	ICCASA	2016	5th International Conference on Context-Aware Systems and Applications	Thu Dau Mot City, Vietnam
ICTAI 2016	ICTAI	2016	IEEE International Conference on Tools with Artificial Intelligence	San Jose, CA
icaase 2016	icaase	2016	The 2nd International Conference on Advanced Aspects of Software Engineering (ICAASE’16)	Constantine- Algerie
ACSIJ v5 i4 July 2016	ACSIJ v5 i4 July	2016	Advances in Computer Science : an International Journal	N/A
BDTA 2016	BDTA	2016	7th EAI International Conference on Big Data Technologies and Applications	SEOUL, SOUTH KOREA
DARS 2016	DARS	2016	13th International Symposium on Distributed Autonomous Robotic Systems	London, UK
ATSS 2016	ATSS	2016	6th IEEE International Workshop on Artificial Transportation Systems and Simulation	Rio de Janeiro (Brazil)
ICRAE 2016	ICRAE	2016	2016 International Conference on Robotics and Automation Engineering (ICRAE 2016)--EI compendex	Jeju Island, Korea
URSW 2016	URSW	2016	Uncertainty Reasoning for the Semantic Web 2016	Kobe, Japan
ACALCI 2016	ACALCI	2016	Australasian Conference on Artificial Life and Computational Intelligence	Canberra, Australia
IDAP 2016	IDAP	2016	International Artificial Intelligence and Data Processing Symposium	Malatya, Turkey
AITIC 2016	AITIC	2016	2016 Applied Informatics and Technology Innovation Conference	Newcastle, Australia
ICCIA-Ei 2016	ICCIA-Ei	2016	EI compendex--2016 International Conference on Computational Intelligence and Applications (ICCIA 2016)	Jeju Island, Korea
CITI 2016	CITI	2016	2nd International Conference on Technologies and Innovation	Guayaquil, Ecuador
CCKS 2016	CCKS	2016	China Conference on Knowledge Graph and Semantic Computing	Beijing
AIR 2016	AIR	2016	Artificial Intelligence and Robotics Conference	Nanjing, china
AIR 2016	AIR	2016	Artificial Intelligence and Robotics Conference	Nanjing, china
CMAME 2016	CMAME	2016	2016 4th International Conference on Mechanical, Automotive and Materials Engineering (CMAME 2016) -- Ei & Scopus	Chengdu, China
CEEC 2016	CEEC	2016	8th Computer Science and Electronic Engineering Conference	Colchester, UK
SKG 2016	SKG	2016	The 12th International Conference on Semantics, Knowledge and Grids on Big Data	Beijing, China
CIG / CEEC 2016	CIG / CEEC	2016	Special Session on Computational Intelligence and Games at CEEC 2016	Colchester, UK
ICA 2016	ICA	2016	International Conference on Agents	Matsue, Japan
ICITE 2016	ICITE	2016	2016 International Conference on Intelligent Transportation Engineering (ICITE 2016)--IEEE Xplore, Ei Compendex	Singapore
ICCES 2016	ICCES	2016	International Conference of Computing for Engineering and Sciences	Barcelona
CRC--Ei 2016	CRC--Ei	2016	(CRC 2016)2016 International Conference on Cybernetics, Robotics and Control	Hong Kong
GCAI 2016	GCAI	2016	GCAI 2016, CfP, 2nd Global Conference on Artificial Intelligence, Berlin, Germany, 29th September - 2nd October 2016	Berlin, Germany
AFRICOMM 2016	AFRICOMM	2016	8th EAI International Conference on e‐Infrastructure and e‐Services for Developing Countries	Ouagadougou, Burkina Faso (West Africa)
JELIA 2016 2016	JELIA 2016	2016	15th European Conference On Logics In Artificial Intelligence	Larnaca
PLP 2016	PLP	2016	The Third Workshop on Probabilistic Logic Programming	London, UK
SYNASC 2016	SYNASC	2016	CFP 18th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing September 24-27, 2016, Timisoara, Romania	Timisoara, Romania
TIME 2016	TIME	2016	23rd International Symposium on Temporal Representation and Reasoning	Copenhagen, Denmark
ACIS 2016	ACIS	2016	The Fifth Asian Conference on Information Systems	Krabi, Thailand
KDWEB 2016	KDWEB	2016	2nd International Workshop on Knowledge Discovery on the Web	Cagliari, Italy
ICMVA 2016	ICMVA	2016	2016 2nd International Conference on Machine Vision and Applications (ICMVA 2016)	Beijing, China
PrAISe 2016	PrAISe	2016	Workshop on AI for Privacy and Security	The Hague, Holland
AmILP@ECAI 2016	AmILP@ECAI	2016	First International Workshop on Ambient Intelligence for Large Premises	The Hague, Netherlands
EGPAI 2016	EGPAI	2016	1st International Workshop on Evaluating General-Purpose AI	The Hague, The Netherlands
IDEAL 2016	IDEAL	2016	17th International Conference on Intelligent Data Engineering and Automated Learning	Yangzhou, China
ICIVC 2016	ICIVC	2016	2016 5th IEEE International Conference on Image, Vision and Computing (ICIVC 2016)--Ei Compendex	Portsmouth, UK
CACRE 2016	CACRE	2016	EI & Scopus--2016 International Conference on Automation, Control and Robotics Engineering (CACRE 2016)	Kitakyushu, Japan
ICIAE 2016	ICIAE	2016	2016 International Conference on Intelligent Automotive Engineering (ICIAE 2016)--IEEE Xplore & Ei Compendex	Singapore
COREDEMA @ ECAI 2016	COREDEMA @ ECAI	2016	2nd International Workshop on Conflict Resolution in Decision Making	The Hague, The Netherlands
ICAIR 2016	ICAIR	2016	ACM-2016 International Conference on Artificial Intelligence and Robotics ( ICAIR 2016)--EI &Scopus	Kitakyushu, Japan
ICSR 2016	ICSR	2016	The 8th International Conference on Social Robotics	Kansas City, USA
ICIMN--Ei 2016	ICIMN--Ei	2016	SCOPUS & Ei--2016 International Conference on Intelligent Materials and Nanomaterials (ICIMN 2016)	Mexico City, Mexico
ICMST 2016	ICMST	2016	2016 7th International Conference on Manufacturing Science and Technology (ICMST 2016)--Ei Compendex, Scopus	Sarawak, Malaysia
IoA - 2016	IoA -	2016	The IEEE/ACM/WIC Workshop on the Internet of Agents	Omaha, Nebraska USA
ICEDA 2016	ICEDA	2016	2016 International Conference on Engineering Design and Analysis (ICEDA 2016)--scopus	Langkawi,Malaysia
SI:AICV 2016	SI:AICV	2016	Computers & Electrical Engineering (Elsevier)	N/A
ENIC 2016	ENIC	2016	The Third European Network Intelligence Conference	Wrocław, Poland
Industry Track RuleML 2016	Industry Track RuleML	2016	10th International Web Rule Symposium (RuleML) 2016 Industry Track	Stonybrook, NY
Infer 2016	Infer	2016	International Workshop on Inference and Privacy in a Hyperconnected World	Darmstadt, Germany
ICCBB 2016	ICCBB	2016	Scopus--2016 International Conference on Computational Biology and Biological Engineering-ICCBB 2016	Langkawi, Malaysia
RuleML 2016	RuleML	2016	CFP5 - RuleML and DecisionCamp 2016 Call for Participation	Stony Brook University, USA
BSP 2016	BSP	2016	Biometric Security and Privacy in The Big Data Era -- Call for Chapters	N/A
PR4MCA 2016	PR4MCA	2016	The 2nd International Workshop on Pattern Recognition for Multimedia Content Analysis	Hanoi, VietNam
ACMME 2016	ACMME	2016	Ei,ISI,Scopu--2016 4th Asia Conference on Mechanical and Materials Engineering (ACMME 2016)	Kuala Lumpur, Malaysia
SASO 2016	SASO	2016	IEEE International Conference on Self-Adaptive and Self-Organizing Systems	Augsburg, Germany
CD 2016	CD	2016	The 2016 ACM SIGKDD Workshop on Causal Discovery	San Francisco, California
LIIE 2016	LIIE	2016	Legal Issues in Intelligent Environments'16	London, UK
WISTIPS 2016	WISTIPS	2016	INFORMATION AND SOFTWARE TECHNOLOGIES FOR INTELLIGENT POWER SYSTEMS	Druskininkai, Lithuania
SUM 2016	SUM	2016	Scalable Uncertainty Management	Nice, France
ISSEA 2016	ISSEA	2016	Special Session on Intelligent Systems and Software Engineering Advances	Druskininkai, Lithuania
DS 2016	DS	2016	19th International Conference on Discovery Science	Bari, Italy
ACIRS 2016	ACIRS	2016	IEEE-2016 Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2016)--EI Compendex	Tokyo, Japan
ILP 2016	ILP	2016	The 26th International Conference on Inductive Logic Programming	London, UK
ICRCA 2016	ICRCA	2016	2016 International Conference on Robot Control and Automation (ICRCA 2016)--EI, SCOPUS & ISI	Tokyo, Japan
SocInf 2016	SocInf	2016	2nd International Workshop on Social Influence Analysis	New York City
HLT-IA 2016	HLT-IA	2016	Workshop on Human Language Technology and Intelligent Applications (IJCAI 2016 Workshop)	New York, USA, July 9-15, 2016
CCSSE 2016	CCSSE	2016	(IEEE Xplore and Ei Compendex) 2016 2nd International Conference on Control Science and Systems Engineering (CCSSE 2016)	Singapore
ECAI 2016	ECAI	2016	8th International Conference on Electronics, Computers and Artificial Intelligence	Ploiesti, Romania
CCIA 2016	CCIA	2016	19 th International Conference of the Catalan Association for Artificial Intelligence	Universitat Pompeu Fabra, Barcelona
AIoT 2016	AIoT	2016	Special session “Affordances in the Internet of Things” (AIoT) at COIOTE ‘16	Covilhã, Portugal
STAIRS 2016	STAIRS	2016	European Starting AI Researcher Symposium	The Hague, Holland
JDSA Speical Issue 2016	JDSA Speical Issue	2016	Special issue on Causal Discovery for the Journal of Data Science and Analytics	N/A
IBERAMIA 2016	IBERAMIA	2016	15th Ibero-American Conference on Artificial Intelligence	San Jose, Costa Rica
6th ICITCS 2016	6th ICITCS	2016	International Conference on IT Convergence and Security	Prague, Czech Republic
ICTTE-Ei 2016	ICTTE-Ei	2016	EI Compendex--(ICTTE 2016)2016 5th International Conference on Transportation and Traffic Engineering	Lucerne, Switzerland
ICMAE-EI 2016	ICMAE-EI	2016	EI--2016 The 7th International Conference on Mechanical and Aerospace Engineering (ICMAE 2016)	London, UK
ICCBR 2016	ICCBR	2016	International Conference on Case Base Reasoning	Atlanta, Georgia (USA)
NSAIS 2016	NSAIS	2016	North-European Society for Adaptive and Intelligent Systems Workshop	Lappeenranta
ICIIL 2016	ICIIL	2016	ICIIL 2016 2nd International Conference on Innovation and Industrial Logistics--EI Compendex	Lucerne, Switzerland
ICSAE 2016	ICSAE	2016	ICSAE 2016 2nd International Conference on Sustainable Automotive Engineering--EI Compendex	Lucerne, Switzerland
ICEMT 2016	ICEMT	2016	2016 7th International Conference on Education and Management Technology (ICEMT 2016	Shanghai, China
ICVED 2016	ICVED	2016	ICVED 2016 2nd International Conference on Vehicle Engineering and Design--EI Compendex	Lucerne, Switzerland
KI 2016	KI	2016	39th German Conference on Artificial Intelligence / ÖGAI-Tagung 2016	Klagenfurt, Austria
HINA 2016	HINA	2016	4th IJCAI Workshop on Heterogeneous Information Network Analysis (HINA)	New York City, NY, USA
IoTAAL - PIMRC 2016	IoTAAL - PIMRC	2016	2nd IEEE International Workshop on Internet of Things for Ambient Assisted Living (IoTAAL) - IEEE PIMRC 2016, Valencia, Spain - Sept 4, 2016	Valencia, Spain
ICMET 2016	ICMET	2016	ICMET 2016 8th International Conference on Mechanical and Electrical Technology (Ei Compendex & Scopus)	Sun Moon Lake, Taiwan
WCO 2016	WCO	2016	9th International Workshop on Computational Optimization	Gdansk, Poland
AAIA 2016	AAIA	2016	11th International Symposium Advances in Artificial Intelligence and Applications	Gdansk, Poland
AIMA 2016	AIMA	2016	6th International Workshop on Artificial Intelligence in Medical Applications	Gdansk, Poland
DSTUI 2016	DSTUI	2016	1st International Workshop on Dealing with Spatial and Temporal Uncertainty and Imprecision	Gdansk, Poland
AIRIM 2016	AIRIM	2016	1st International Workshop on AI aspects of Reasoning, Information, and Memory	Gdansk, Poland
AIMaViG 2016	AIMaViG	2016	2nd International Workshop on Artificial Intelligence in Machine Vision and Graphics	Gdansk, Poland
PRIMA 2016	PRIMA	2016	Principles and Practice of Multi-Agent Systems	Phuket, THAILAND
MT4BD 2016	MT4BD	2016	3nd Workshop on New Methods and Tools for Big Data	Thessaloniki, Greece
MHDW 2016	MHDW	2016	5th Mining Humanistic Data Workshop	Thessaloniki, Greece
LANMR 2016	LANMR	2016	LANMR 2016 : Ninth Latin American Workshop on Logic/Languages, Algorithms and New Methods of Reasoning 2016	Puebla
ICKD 2016	ICKD	2016	Ei Compendex--2016 5th International Workshop on Knowledge Discovery (ICKD 2016)	Chengdu, China
ATT 2016	ATT	2016	Ninth International Workshop on Agents in Traffic and Transportation	New York City
IVA 2016	IVA	2016	Intelligent Virtual Agents Conference	Los Angeles, CA, USA
CIG 2016	CIG	2016	IEEE Computational Intelligence and Games Conference	Santorini Island, Greece
NN in Games 2016	NN in Games	2016	Workshop on Neural Networks in Games at the Computers and Games Conference 2016 Leiden	Leiden, The Netherlands
ICCSE 2016	ICCSE	2016	The 2016 International Conference on Crowd Science and Engineering	The University of British Columbia
BeyondLabeler 2016	BeyondLabeler	2016	IJCAI 2016 Workshop: Human is More Than a Labeler	New York City, NY, USA
AIAP 2016	AIAP	2016	3rd International Conference on Artificial Intelligence and Applications	Vienna , Austria
CCSEIT 2016	CCSEIT	2016	6 th International Conference on Computer Science, Engineering and Information Technology	vienna, Austria
ICAME 2016	ICAME	2016	SCOPUS & Ei--2016 the 5th International Conference on Advances in Mechanics Engineering (ICAME 2016)	Singapore
ICROM 2016	ICROM	2016	ICROM 2016 The 3rd International Conference on Robotics and Mechatronics(SCOPUS, Ei Compendex)	Singapore
ICMMR 2016	ICMMR	2016	2016 3rd International Conference on Mechanics and Mechatronics Research (ICMMR 2016)--Ei & Scopus	Chongqing, China
ICBBS 2016	ICBBS	2016	2016 5th International Conference on Bioinformatics and Biomedical Science (ICBBS 2016)	Bali, Indonesia
ICONIP 2016	ICONIP	2016	The 23rd International Conference on Neural Information Processing	Kyoto, Japan
SPECOM 2016	SPECOM	2016	18th International Conference on Speech and Computer	Budapest, Hungary
ICEESM 2016	ICEESM	2016	(ICEESM 2016) 2016 International Conference on Energy Engineering and Smart Materials-- EI &Scopus	Bangkok, Thailand
DeepRL 2016	DeepRL	2016	Deep Reinforcement Learning Workshop @IJCAI 2016	New York City, New York, USA
Bridging 2016	Bridging	2016	Bridging the Gap between Human and Automated Reasoning	an IJCAI-16 workshop in New York
IML 2016	IML	2016	IJCAI International Workshop on Interactive Machine Learning	New York, USA
HSP@HCIST 2016	HSP@HCIST	2016	Healthy and Secure People	Porto, Portugal
IJCAI-KDHEALTH 2016	IJCAI-KDHEALTH	2016	Workshop on Knowledge Discovery in Healthcare Data	New York City
WCSE 2016	WCSE	2016	EI&SCOPUS--2016 6th International Workshop on Computer Science and Engineering (WCSE 2016)	Tokyo, Japan
SPCIES 2016	SPCIES	2016	SPCIES 2016 International Conference on Security and Performances In Complex Infrastructures and Emerging Systems	Warsaw, Poland
IJCAI-SBD 2016	IJCAI-SBD	2016	IJCAI 2016 Workshop on Scholarly Big Data: AI Perspectives, Challenges, and Ideas	New York, NY
AI Matters - Apr 2016	AI Matters - Apr	2016	AI Matters: the ACM SIGAI Newsletter — Call for Doctoral Abstracts	N/A
ECAI 2016	ECAI	2016	European Conference on Artificial Intelligence	The Hague, the Netherlands
ALICE 2016	ALICE	2016	6th International Workshop on Adaptive Learning via Interactive, Collaborative and Emotional approaches	Ostrava, Czech Republic
IMS 2016	IMS	2016	First International Workshop on Intelligent Mentoring Systems in conjunction with ITS2016	Zagreb, Croatia
SocialNLP@IJCAI 2016	SocialNLP@IJCAI	2016	The 4th International Workshop on Natural Language Processing for Social Media 2016	New York City
ICPCO 2016	ICPCO	2016	2016 2nd International Conference on Power Control and Optimization (ICPCO 2016)--Ei & Scopus	Chongqing, China
ICBBT 2016	ICBBT	2016	ICBBT 2016 8th International Conference on Bioinformatics and Biomedical Technology	Barcelona, Spain
AIC 2016	AIC	2016	AIC 2016 - 4th International Workshop on Artificial Intelligence and Cognition - July 2016, New York (co-located with IJCAI 16)	New York
NN 2016	NN	2016	The First International Conference on Neural Networks and Applications	Tehran, Iran (with 3 Online Sessions)
ICMIE 2016	ICMIE	2016	ICMIE 2016 International Conference on Measurement Instrumentation and Electronics (Ei Compendex & Scopus)	Munich, Germany
AI & FL 2016	AI & FL	2016	Fourth International Conference of Artificial Intelligence and Fuzzy Logic	Dubai , UAE
CSE 2016	CSE	2016	Fourth International Conference on Computational Science and Engineering	Duai, UAE
GECCOsws 2016	GECCOsws	2016	GECCO Student Workshop	Denver, CO
CCKS-Challenge 2016	CCKS-Challenge	2016	CCKS2016 - Call for Task Proposals	Beijing
ICIIP 2016	ICIIP	2016	EI Compendex, Scoupus -- 2016 the 5th International Conference on Intelligent Information Processing (ICIIP 2016)	Beijing, China
ICMSI-Ei 2016	ICMSI-Ei	2016	SCOPUS, Ei--2016 International Conference on Materials and Structural Integrity (ICMSI 2016)	Paris, France
ICMIP-Ei 2016	ICMIP-Ei	2016	EI Compendex--ICMIP 2016 the first International Conference on Multimedia and Image Processing	Bandar Seri Begawan, Brunei
ICMSC--EI 2016	ICMSC--EI	2016	EI &Scopus--2016 International Conference on Mechanical, System and Control Engineering (ICMSC 2016)	Moscow, Russia
ICOAE 2016	ICOAE	2016	2016 International Conference on Aerospace Engineering (ICOAE 2016) - IEEE Xplore and Ei Compendex	Moscow, Russia
AGI 2016	AGI	2016	Artificial General Intelligence	New York City, USA
DS4IDS@ICCSA 2016	DS4IDS@ICCSA	2016	Data Science for Intelligent Decision Support	Beijing, China
JFSMA 2016	JFSMA	2016	Journées Francophones sur les Systèmes Multi-Agents	Rouen
IJMISSP 2016	IJMISSP	2016	International Journal of Machine Intelligence and Sensory Signal Processing	N/A
SLPCS 2016	SLPCS	2016	Workshop on Semantic Spaces at the Intersection of NLP, Physics and Cognitive Science	Glasgow, UK
SEPLN 2016	SEPLN	2016	32nd INTERNATIONAL CONFERENCE OF THE SPANISH SOCIETY FOR NATURAL LANGUAGE PROCESSING (SEPLN 2016)	Salamanca
INISTA 2016	INISTA	2016	International Symposium on INnovations in Intelligent SysTems and Applications	Sinaia, Romania
ICCS 2016	ICCS	2016	ICCS 2016 : 18th International Conference on Cognitive Systems	Istanbul
ICMEP 2016	ICMEP	2016	Ei Compendex --2016 The 5th International Conference on Manufacturing Engineering and Process (ICMEP 2016) --Scopus	Istanbul, Turkey
